Sentence,Error Type,Corrected Sentence
அவன் வீட்டில் சாப்பிடுகிறாள்.,Spelling Error,அவன் வீட்டில் படிக்கிறான்.
நாம் புத்தகத்தை படிக்கிறான்.,No Error,நாம் புத்தகத்தை படிக்கிறான்.
நாம் புத்தகத்தை படிக்கிறாள்.,No Error,நாம் புத்தகத்தை படிக்கிறாள்.
அவர்கள் வீட்டில் செல்கிறான்.,Habitual Case,அவர்கள் வீட்டில் சாப்பிடுகிறான்.
நாம் புத்தகத்தை படிக்கிறார்கள்.,Spelling Error,நாம் புத்தகத்தை படிக்கிறான்.
பார்வதி பந்து செல்வேன்.,No Error,பார்வதி பந்து செல்வேன்.
அவர்கள் வீட்டில் விளையாடுகிறோம்.,No Error,அவர்கள் வீட்டில் விளையாடுகிறோம்.
பார்வதி பாடத்தை படிக்கிறார்கள்.,Verb Tense,பார்வதி பாடத்தை செல்வேன்.
அவன் பாடத்தை சாப்பிடுகிறாள்.,Verb Tense,அவன் பாடத்தை செல்வேன்.
அவர்கள் புத்தகத்தை சாப்பிடுகிறாள்.,Subject-Verb Agreement,அவர்கள் புத்தகத்தை விளையாடுகிறோம்.
பார்வதி பாடத்தை விளையாடுகிறோம்.,No Error,பார்வதி பாடத்தை விளையாடுகிறோம்.
அவள் பள்ளிக்கு படிக்கிறாள்.,No Error,அவள் பள்ளிக்கு படிக்கிறாள்.
பார்வதி புத்தகத்தை படிக்கிறார்கள்.,Spelling Error,பார்வதி புத்தகத்தை படிக்கிறாள்.
நாம் பாடத்தை படிக்கிறாள்.,No Error,நாம் பாடத்தை படிக்கிறாள்.
நான் பாடத்தை சாப்பிடுகிறாள்.,Verb Tense,நான் பாடத்தை சாப்பிடுகிறான்.
அவள் வீட்டில் படிக்கிறாள்.,No Error,அவள் வீட்டில் படிக்கிறாள்.
